ISO name,DRT name,ISO code
Japan,Japan,JPN
Jersey,Jersey,JEY
Jordan,Jordan,JOR
Kazakhstan,Kazakhstan,KAZ
Kenya,Kenya,KEN
Kiribati,Kiribati,KIR
Korea (the Democratic People's Republic of),North Korea,PRK
Korea (the Republic of),South Korea,KOR
Kuwait,Kuwait,KWT
Kyrgyzstan,Kyrgyzstan,KGZ
Lao People's Democratic Republic (the),Laos,LAO
Latvia,Latvia,LVA
Lebanon,Lebanon,LBN
Lesotho,Lesotho,LSO
Liberia,Liberia,LBR
Libya,Libya,LBY
Liechtenstein,Liechtenstein,LIE
Lithuania,Lithuania,LTU
Luxembourg,Luxembourg,LUX
Macao,Macau,MAC
Madagascar,Madagascar,MDG
Malawi,Malawi,MWI
Malaysia,Malaysia,MYS
Maldives,Maldives,MDV
Mali,Mali,MLI
Malta,Malta,MLT
Marshall Islands (the),Marshall Islands,MHL
Martinique,Martinique,MTQ
Mauritania,Mauritania,MRT
Mauritius,Mauritius,MUS
Mayotte,Mayotte,MYT
Mexico,Mexico,MEX
Micronesia (Federated States of),Micronesia,FSM
Moldova (the Republic of),Moldova,MDA
Monaco,Monaco,MCO
Mongolia,Mongolia,MNG
Montenegro,Montenegro,MNE
Montserrat,Montserrat,MSR
Morocco,Morocco,MAR
Mozambique,Mozambique,MOZ
Myanmar,Myanmar,MMR
Namibia,Namibia,NAM
Nauru,Nauru,NRU
Nepal,Nepal,NPL
Netherlands (the),Netherlands,NLD
New Caledonia,New Caledonia,NCL
New Zealand,New Zealand,NZL
Nicaragua,Nicaragua,NIC
Niger (the),Niger,NER
Nigeria,Nigeria,NGA
Niue,Niue,NIU
Norfolk Island,Norfolk Island,NFK
North Macedonia,North Macedonia,MKD
Northern Mariana Islands (the),Northern Mariana Islands (the),MNP
Norway,Norway,NOR
Oman,Oman,OMN
Pakistan,Pakistan,PAK
Palau,Palau,PLW
"Palestine, State of",Palestine,PSE
Panama,Panama,PAN
Papua New Guinea,Papua New Guinea,PNG
Paraguay,Paraguay,PRY
Peru,Peru,PER
Philippines (the),Philippines,PHL
Pitcairn,Pitcairn,PCN
Poland,Poland,POL
Portugal,Portugal,PRT
Puerto Rico,Puerto Rico,PRI
Qatar,Qatar,QAT
Romania,Romania,ROU
Russian Federation (the),Russia,RUS
Rwanda,Rwanda,RWA
Réunion,Reunion,REU
Saint Barthélemy,Saint Barthélemy,BLM
"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,SHN
Saint Kitts and Nevis,Saint Kitts and Nevis,KNA
Saint Lucia,Saint Lucia,LCA
Saint Martin (French part),Saint Martin,MAF
Saint Pierre and Miquelon,Saint Pierre and Miquelon,SPM
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT
Samoa,Samoa,WSM
San Marino,San Marino,SMR
Sao Tome and Principe,Sao Tome and Principe,STP
Saudi Arabia,Saudi Arabia,SAU
Senegal,Senegal,SEN
Serbia,Serbia,SRB
Seychelles,Seychelles,SYC
Sierra Leone,Sierra Leone,SLE
Singapore,Singapore,SGP
Sint Maarten (Dutch part),Sint Maarten,SXM
Slovakia,Slovakia,SVK
Slovenia,Slovenia,SVN
Solomon Islands,Solomon Islands,SLB
Somalia,Somalia,SOM
South Africa,South Africa,ZAF
South Georgia and the South Sandwich Islands,South Georgia and the Islands,SGS
South Sudan,South Sudan,SSD
Spain,Spain,ESP
Sri Lanka,Sri Lanka,LKA
Sudan (the),Sudan,SDN
Suriname,Suriname,SUR
Svalbard and Jan Mayen,Svalbard,SJM
Sweden,Sweden,SWE
Switzerland,Switzerland,CHE
Syrian Arab Republic (the),Syria,SYR
Taiwan (Province of China),Taiwan,TWN
Tajikistan,Tajikistan,TJK
"Tanzania, the United Republic of",Tanzania,TZA
Thailand,Thailand,THA
Timor-Leste,Timor-Leste,TLS
Togo,Togo,TGO
Tokelau,Tokelau,TKL
Tonga,Tonga,TON
Trinidad and Tobago,Trinidad and Tobago,TTO
Tunisia,Tunisia,TUN
Turkey,Turkey,TUR
Turkmenistan,Turkmenistan,TKM
Turks and Caicos Islands (the),Turks and Caicos Islands,TCA
Tuvalu,Tuvalu,TUV
Uganda,Uganda,UGA
Ukraine,Ukraine,UKR
United Arab Emirates (the),United Arab Emirates,ARE
United Kingdom of Great Britain and Northern Ireland (the),United Kingdom,GBR
United States Minor Outlying Islands (the),United States Minor Outlying Islands,UMI
United States of America (the),United States,USA
Uruguay,Uruguay,URY
Uzbekistan,Uzbekistan,UZB
Vanuatu,Vanuatu,VUT
Venezuela (Bolivarian Republic of),Venezuela,VEN
Viet Nam,Vietnam,VNM
Virgin Islands (British),Virgin Islands (British),VGB
Virgin Islands (U.S.),Virgin Islands,VIR
Wallis and Futuna,Wallis and Futuna,WLF
Western Sahara*,Western Sahara,ESH
Yemen,Yemen,YEM
Zambia,Zambia,ZMB
Zimbabwe,Zimbabwe,ZWE
Åland Islands,Åland Islands,ALA
